steady_us,title_id
0,PCSB00000
100000,PCSB00000
200000,PCSB00000
300000,PCSB00000
400000,PCSB00000
500000,PCSB00000
600000,PCSB00000
700000,PCSB00000
800000,PCSB00000
900000,PCSB00000
1000000,PCSB00000
1033333,PCSB00000
1066666,PCSB00000
1099999,PCSB00000
1133332,PCSB00000
1166665,PCSB00000
1199998,PCSB00000
1233331,PCSB00000
1266664,PCSB00000
1299997,PCSB00000
1333330,PCSB00000
1366663,PCSB00000
1399996,PCSB00000
1433329,PCSB00000
1466662,PCSB00000
1499995,PCSB00000
1533328,PCSB00000
1566661,PCSB00000
1599994,PCSB00000
1633327,PCSB00000
1666660,PCSB00000
1699993,PCSB00000
1733326,PCSB00000
1766659,PCSB00000
1799992,PCSB00000
1833325,PCSB00000
1866658,PCSB00000
1899991,PCSB00000
1933324,PCSB00000
1966657,PCSB00000
2000000,PCSB00000
2033333,PCSB00000
2066666,PCSB00000
2099999,PCSB00000
2133332,PCSB00000
2166665,PCSB00000
2199998,PCSB00000
2233331,PCSB00000
2266664,PCSB00000
2299997,PCSB00000
2333330,PCSB00000
2366663,PCSB00000
2399996,PCSB00000
2433329,PCSB00000
2466662,PCSB00000
2499995,PCSB00000
2533328,PCSB00000
2566661,PCSB00000
2599994,PCSB00000
2633327,PCSB00000
2666660,PCSB00000
2699993,PCSB00000
2733326,PCSB00000
2766659,PCSB00000
2799992,PCSB00000
2833325,PCSB00000
2866658,PCSB00000
2966658,PCSB00000
3000000,PCSB00000
3033333,PCSB00000
3066666,PCSB00000
3099999,PCSB00000
3133332,PCSB00000
3166665,PCSB00000
3199998,PCSB00000
3233331,PCSB00000
3266664,PCSB00000
3299997,PCSB00000
3333330,PCSB00000
3366663,PCSB00000
3399996,PCSB00000
3433329,PCSB00000
3466662,PCSB00000
3499995,PCSB00000
3533328,PCSB00000
3566661,PCSB00000
3599994,PCSB00000
3633327,PCSB00000
3666660,PCSB00000
3699993,PCSB00000
3733326,PCSB00000
3766659,PCSB00000
3799992,PCSB00000
3833325,PCSB00000
3866658,PCSB00000
3899991,PCSB00000
3933324,PCSB00000
3966657,PCSB00000
4000000,PCSB00000
